K,State,2016,fips
0,Alabama,39.13,US01
1,Arizona,24.29,US04
2,Arkansas,28.13,US05
3,California,21.95,US06
4,Colorado,28.14,US08
5,Delaware,34.68,US10
6,District Of Columbia,30.00,US11
7,Florida,28.19,US12
8,Georgia,26.20,US13
9,Illinois,25.13,US17
10,Indiana,27.29,US18
11,Iowa,28.13,US19
12,Kansas,21.37,US20
13,Louisiana,31.23,US22
14,Maine,27.82,US23
15,Maryland,25.72,US24
16,Massachusetts,23.55,US25
17,Missouri,29.45,US29
18,Nevada,27.58,US32
19,New Hampshire,29.77,US33
20,New York,24.39,US36
21,North Carolina,17.00,US37
22,North Dakota,25.00,US38
23,Ohio,25.29,US39
24,Oklahoma,23.61,US40
25,Pennsylvania,31.97,US42
26,Rhode Island,23.90,US44
27,South Carolina,23.67,US45
28,Tennessee,28.27,US47
29,Texas,29.16,US48
30,Utah,29.29,US49
31,Virginia,28.13,US51
32,Washington,41.17,US53
33,Wyoming,30.66,US56
,,36.04,
,,37.58,
,,30.42,
,,34.07,
,,32.49,
,,37.37,
,,28.79,
,,29.45,
,,33.98,
,,26.36,
,,37.32,
,,30.03,
,,28.34,
,,31.49,
,,31.34,
,,32.88,
,,30.69,
,,29.09,
,,32.40,
,,30.41,
,,2.00,
,,39.90,
,,25.08,
,,34.07,
,,32.64,
,,34.28,
,,38.06,
,,34.59,
,,43.00,
,,37.89,
,,44.55,
,,38.50,
,,39.13,
,,39.09,
,,39.03,
,,33.10,
,,31.52,
,,40.16,
,,32.81,
,,39.78,
,,29.03,
,,32.61,
,,39.37,
,,35.86,
,,34.13,
,,33.74,
,,31.05,
,,34.27,
,,31.50,
,,36.55,
,,38.94,
,,34.82,
,,40.30,
,,36.42,
,,35.85,
,,35.13,
,,45.09,
,,38.25,
,,43.16,
,,42.73,
,,44.27,
,,38.18,
,,52.20,
,,38.39,
,,37.87,
,,41.30,
,,38.13,
,,54.42,
,,40.20,
,,42.73,
,,40.73,
,,39.77,
,,45.53,
,,46.65,
,,33.77,
,,43.70,
,,49.77,
